#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 8.3401622738841734E+00    6.8597237228533586E-02    7.6522785620407974E+17    5.5948360383774414E+12    3.0791641302779149E+03    3.3795229491645395E+15    6.0647732818036788E+14    2.2243012882667026E+12    2.4393591281165619E+09    9.8431493596747338E+14    7.6424021642751091E+17    3.1137536703459167E+09    4.8998581643768297E+13    7.6522785618581658E+17    3.0262237706416570E+01    7.2912384651326399E+09    7.5060858446193333E+09    6.4409257337181645E+17    5.4524573471828773E+10
 8.8510822597976002E+00    6.2099886702248301E-02    7.6522785685596122E+17    1.1814518996002055E+13    3.7232379394235677E+03    2.2296110485357428E+16    8.8661652191873138E+14    2.5629111360663838E+12    2.8797386582175488E+09    4.1876597849169040E+15    7.6508865625664435E+17    3.4752590802070918E+09    1.8941027121222981E+14    7.6522785685492659E+17    3.4639667194909741E+01    6.6467157827941980E+09    8.9735865826050873E+09    5.9639662797579059E+17    5.8455375234329201E+10
 9.3856152018671182E+00    5.6215992371521174E-02    7.6522785747144538E+17    2.5538585498120270E+13    4.4828113965555340E+03    1.4884886580841107E+17    1.3105767595985655E+15    2.9307601520338921E+12    3.3979477024925890E+09    1.8449869513020404E+16    7.6521034099963405E+17    3.8060109908191404E+09    7.1426206281010000E+14    7.6522785747138816E+17    3.9337389797189509E+01    6.0367250836602879E+09    1.0752972719812323E+10    5.4005415053293882E+17    6.2516706187660683E+10
 9.9205798791802629E+00    5.1100938484471614E-02    7.6522785803458176E+17    5.4651267081465500E+13    5.3291793875820158E+03    5.1774633412720518E+17    1.9312509312350162E+15    3.3878976491946802E+12    3.9777283033478823E+09    7.5330720734483792E+16    7.6522579820165286E+17    4.0711438125308566E+09    2.4886643089663570E+15    7.6522785803457830E+17    4.4076129319328764E+01    5.4909601803633108E+09    1.2801745177206005E+10    4.8012248858869382E+17    6.6557685365383514E+10
 1.0491298821170318E+01    4.6352576115868391E-02    7.6522785859032282E+17    1.2168730199595255E+14    6.3217054545102619E+03    7.3289128662251443E+17    2.9093171984024605E+15    4.4743468398718223E+12    4.6641963639018888E+09    2.6294412787449763E+17    7.6522766739072307E+17    4.2695818770968180E+09    8.5887684527317290E+15    7.6522785859032282E+17    4.9081520084859818E+01    4.9753588433131599E+09    1.5295491582156080E+10    4.1612274645817702E+17    7.0874386663673019E+10
 1.1202313148212458E+01    4.1276674674988953E-02    7.6522785923409613E+17    3.2503626385588444E+14    7.6751928102220309E+03    7.6369444004371328E+17    4.8171709179549630E+15    1.2359875784864686E+13    5.6155726658529129E+09    5.9898042087776000E+17    7.6522785059049101E+17    4.3928592481063747E+09    3.4458428274636536E+16    7.6522785923409613E+17    5.5129188582255971E+01    4.4192562534070501E+09    1.8854849072289623E+10    3.4135520910636954E+17    7.6308942213238220E+10
 1.1926281820322643E+01    3.6889739921297321E-02    7.6522785985096934E+17    8.6967864928642350E+14    9.1749096433388549E+03    7.6522785985096934E+17    7.9831793183841230E+15    9.8532083235158656E+13    6.6924358037430258E+09    7.3582252706824934E+17    7.6522785951926733E+17    4.3963187856732197E+09    1.1407610739234466E+17    7.6522785985096934E+17    6.0999688218900282E+01    3.9384323363410726E+09    2.3000368207720592E+10    2.7492426087140554E+17    8.1973192644365860E+10
 1.2669938817812683E+01    3.3048040837053552E-02    7.6522786045825587E+17    2.3506156660227815E+15    1.0825792989070031E+04    7.6522786045825587E+17    1.3279638902938494E+16    1.8004034927266550E+15    7.9037406262200527E+09    7.6096484741089075E+17    7.6522786044639834E+17    4.3016111476967115E+09    2.8720587789627965E+17    7.6522786045825587E+17    6.6674321364333125E+01    3.5198380026887026E+09    2.7781474130621811E+10    2.1879607056648710E+17    8.7984512385053085E+10
 1.3430024700289819E+01    2.9689026124788867E-02    7.6522786106323315E+17    6.3744436216269790E+15    1.2612302005978876E+04    7.6522786106323315E+17    2.2066417200922360E+16    5.7478194890153104E+16    9.2382103532505360E+09    7.6463750998953536E+17    7.6522786106274637E+17    4.1353457197556286E+09    5.0516660884937920E+17    7.6522786106323315E+17    7.2089684472800997E+01    3.1573469386444039E+09    3.3162498385857323E+10    1.7328115555542656E+17    9.4379231473287582E+10
 1.4363116192513107E+01    2.6199279441954923E-02    7.6522786179827699E+17    2.0993393868398252E+16    1.4918877692647415E+04    7.6522786179827699E+17    4.0309548550831672E+16    7.0708210547238746E+17    1.0978532380781368E+10    7.6517417326315366E+17    7.6522786179826330E+17    3.8752711854701948E+09    6.7610360011389235E+17    7.6522786179827699E+17    7.8222243893379215E+01    2.7855688495808935E+09    4.0320766801577156E+10    1.3092613182567907E+17    1.0262543884970580E+11
